readpair	integr_hotspot	chr1	pos1	chr2	pos2	EBV_cluster
A00125:289:HWHYWDSXX:4:1443:26350:18411		1	39014637	NC_007605	36400	
A00125:289:HWHYWDSXX:4:1117:1633:32910		1	197850599	NC_007605	36406	
A00125:289:HWHYWDSXX:4:1654:21079:33739		11	104121668	NC_007605	36403	
A00155:256:HWMGCDSXX:4:2509:16794:3677		14	99887284	NC_007605	36400	
A00125:289:HWHYWDSXX:4:1322:10990:19085		15	45754114	NC_007605	36408	
A00155:256:HWMGCDSXX:4:2578:9715:16689		15	92293043	NC_007605	36405	
A00125:289:HWHYWDSXX:4:2267:10330:10238		17	42646425	NC_007605	36404	
A00125:289:HWHYWDSXX:4:2507:10167:33912		2	46590125	NC_007605	36400	
A00125:289:HWHYWDSXX:4:2328:14371:35180		2	54014163	NC_007605	36400	
A00125:289:HWHYWDSXX:4:1378:17309:34194		20	12253711	NC_007605	36407	
A00125:289:HWHYWDSXX:4:2366:18918:25520		20	62324831	NC_007605	36404	
A00125:289:HWHYWDSXX:4:1669:9724:27633		21	10947629	NC_007605	36389	
A00125:289:HWHYWDSXX:4:1639:12509:1673		3	52866793	NC_007605	36407	
A00125:289:HWHYWDSXX:4:2350:23140:31579		3	126581339	NC_007605	36400	
A00155:256:HWMGCDSXX:4:1177:12400:32142		3	196295252	NC_007605	36407	
A00155:256:HWMGCDSXX:4:1304:2926:23938		7	151983245	NC_007605	36405	
A00125:289:HWHYWDSXX:4:2675:7970:19617		9	30077419	NC_007605	36404	
A00125:289:HWHYWDSXX:4:1331:6388:33129		9	37932016	NC_007605	36400	
A00125:289:HWHYWDSXX:4:1222:16667:25880		hs37d5	32811357	NC_007605	36407	
